jogador,rodada,numero,cor,resultado,saldo
1,1,25,Vermelho,Vitória,105
1,2,15,Preto,Derrota,100
1,3,24,Preto,Derrota,95
1,4,11,Preto,Derrota,90
1,5,25,Vermelho,Vitória,95
1,6,36,Vermelho,Vitória,100
1,7,33,Preto,Derrota,95
1,8,36,Vermelho,Vitória,100
1,9,9,Vermelho,Vitória,105
1,10,9,Vermelho,Vitória,110
1,11,8,Preto,Derrota,105
1,12,12,Vermelho,Vitória,110
1,13,27,Vermelho,Vitória,115
1,14,19,Vermelho,Vitória,120
1,15,2,Preto,Derrota,115
1,16,22,Preto,Derrota,110
1,17,9,Vermelho,Vitória,115
1,18,9,Vermelho,Vitória,120
1,19,27,Vermelho,Vitória,125
1,20,7,Vermelho,Vitória,130
1,21,27,Vermelho,Vitória,135
1,22,15,Preto,Derrota,130
1,23,25,Vermelho,Vitória,135
1,24,30,Vermelho,Vitória,140
1,25,2,Preto,Derrota,135
1,26,20,Preto,Derrota,130
1,27,15,Preto,Derrota,125
1,28,23,Vermelho,Vitória,130
1,29,33,Preto,Derrota,125
1,30,15,Preto,Derrota,120
1,31,20,Preto,Derrota,115
1,32,19,Vermelho,Vitória,120
1,33,15,Preto,Derrota,115
1,34,16,Vermelho,Vitória,120
1,35,27,Vermelho,Vitória,125
1,36,9,Vermelho,Vitória,130
1,37,9,Vermelho,Vitória,135
1,38,30,Vermelho,Vitória,140
1,39,5,Vermelho,Vitória,145
1,40,0,Verde,Derrota,140
1,41,27,Vermelho,Vitória,145
1,42,21,Vermelho,Vitória,150
1,43,21,Vermelho,Vitória,155
1,44,19,Vermelho,Vitória,160
1,45,15,Preto,Derrota,155
1,46,35,Preto,Derrota,150
1,47,3,Vermelho,Vitória,155
1,48,18,Vermelho,Vitória,160
1,49,26,Preto,Derrota,155
1,50,19,Vermelho,Vitória,160
1,51,8,Preto,Derrota,155
1,52,2,Preto,Derrota,150
1,53,32,Vermelho,Vitória,155
1,54,13,Preto,Derrota,150
1,55,6,Preto,Derrota,145
1,56,27,Vermelho,Vitória,150
1,57,11,Preto,Derrota,145
1,58,18,Vermelho,Vitória,150
1,59,10,Preto,Derrota,145
1,60,21,Vermelho,Vitória,150
1,61,33,Preto,Derrota,145
1,62,31,Preto,Derrota,140
1,63,3,Vermelho,Vitória,145
1,64,31,Preto,Derrota,140
1,65,32,Vermelho,Vitória,145
1,66,14,Vermelho,Vitória,150
1,67,8,Preto,Derrota,145
1,68,12,Vermelho,Vitória,150
1,69,36,Vermelho,Vitória,155
1,70,6,Preto,Derrota,150
1,71,33,Preto,Derrota,145
1,72,25,Vermelho,Vitória,150
1,73,33,Preto,Derrota,145
1,74,11,Preto,Derrota,140
1,75,6,Preto,Derrota,135
1,76,25,Vermelho,Vitória,140
1,77,12,Vermelho,Vitória,145
1,78,14,Vermelho,Vitória,150
1,79,36,Vermelho,Vitória,155
1,80,2,Preto,Derrota,150
1,81,6,Preto,Derrota,145
1,82,3,Vermelho,Vitória,150
1,83,18,Vermelho,Vitória,155
1,84,25,Vermelho,Vitória,160
1,85,26,Preto,Derrota,155
1,86,31,Preto,Derrota,150
1,87,31,Preto,Derrota,145
1,88,22,Preto,Derrota,140
1,89,10,Preto,Derrota,135
1,90,9,Vermelho,Vitória,140
1,91,23,Vermelho,Vitória,145
1,92,4,Preto,Derrota,140
1,93,5,Vermelho,Vitória,145
1,94,4,Preto,Derrota,140
1,95,24,Preto,Derrota,135
1,96,24,Preto,Derrota,130
1,97,5,Vermelho,Vitória,135
1,98,2,Preto,Derrota,130
1,99,27,Vermelho,Vitória,135
1,100,21,Vermelho,Vitória,140
1,101,24,Preto,Derrota,135
1,102,13,Preto,Derrota,130
1,103,22,Preto,Derrota,125
1,104,33,Preto,Derrota,120
1,105,27,Vermelho,Vitória,125
1,106,8,Preto,Derrota,120
1,107,19,Vermelho,Vitória,125
1,108,4,Preto,Derrota,120
1,109,35,Preto,Derrota,115
1,110,6,Preto,Derrota,110
1,111,6,Preto,Derrota,105
1,112,0,Verde,Derrota,100
1,113,15,Preto,Derrota,95
1,114,15,Preto,Derrota,90
1,115,9,Vermelho,Vitória,95
1,116,3,Vermelho,Vitória,100
1,117,36,Vermelho,Vitória,105
1,118,11,Preto,Derrota,100
1,119,27,Vermelho,Vitória,105
1,120,26,Preto,Derrota,100
1,121,1,Vermelho,Vitória,105
1,122,26,Preto,Derrota,100
1,123,26,Preto,Derrota,95
1,124,33,Preto,Derrota,90
1,125,26,Preto,Derrota,85
1,126,14,Vermelho,Vitória,90
1,127,5,Vermelho,Vitória,95
1,128,15,Preto,Derrota,90
1,129,23,Vermelho,Vitória,95
1,130,3,Vermelho,Vitória,100
1,131,29,Preto,Derrota,95
1,132,4,Preto,Derrota,90
1,133,30,Vermelho,Vitória,95
1,134,24,Preto,Derrota,90
1,135,20,Preto,Derrota,85
1,136,29,Preto,Derrota,80
1,137,4,Preto,Derrota,75
1,138,15,Preto,Derrota,70
1,139,23,Vermelho,Vitória,75
1,140,22,Preto,Derrota,70
1,141,23,Vermelho,Vitória,75
1,142,7,Vermelho,Vitória,80
1,143,8,Preto,Derrota,75
1,144,12,Vermelho,Vitória,80
1,145,33,Preto,Derrota,75
1,146,21,Vermelho,Vitória,80
1,147,31,Preto,Derrota,75
1,148,27,Vermelho,Vitória,80
1,149,32,Vermelho,Vitória,85
1,150,33,Preto,Derrota,80
1,151,5,Vermelho,Vitória,85
1,152,29,Preto,Derrota,80
1,153,4,Preto,Derrota,75
1,154,5,Vermelho,Vitória,80
1,155,21,Vermelho,Vitória,85
1,156,5,Vermelho,Vitória,90
1,157,3,Vermelho,Vitória,95
1,158,24,Preto,Derrota,90
1,159,23,Vermelho,Vitória,95
1,160,3,Vermelho,Vitória,100
1,161,25,Vermelho,Vitória,105
1,162,20,Preto,Derrota,100
1,163,1,Vermelho,Vitória,105
1,164,30,Vermelho,Vitória,110
1,165,30,Vermelho,Vitória,115
1,166,19,Vermelho,Vitória,120
1,167,30,Vermelho,Vitória,125
1,168,18,Vermelho,Vitória,130
1,169,26,Preto,Derrota,125
1,170,17,Preto,Derrota,120
1,171,7,Vermelho,Vitória,125
1,172,32,Vermelho,Vitória,130
1,173,3,Vermelho,Vitória,135
1,174,16,Vermelho,Vitória,140
1,175,29,Preto,Derrota,135
1,176,12,Vermelho,Vitória,140
1,177,27,Vermelho,Vitória,145
1,178,16,Vermelho,Vitória,150
1,179,19,Vermelho,Vitória,155
1,180,31,Preto,Derrota,150
1,181,34,Vermelho,Vitória,155
1,182,9,Vermelho,Vitória,160
1,183,34,Vermelho,Vitória,165
1,184,27,Vermelho,Vitória,170
1,185,19,Vermelho,Vitória,175
1,186,28,Preto,Derrota,170
1,187,35,Preto,Derrota,165
1,188,11,Preto,Derrota,160
1,189,20,Preto,Derrota,155
1,190,33,Preto,Derrota,150
1,191,34,Vermelho,Vitória,155
1,192,33,Preto,Derrota,150
1,193,5,Vermelho,Vitória,155
1,194,1,Vermelho,Vitória,160
1,195,9,Vermelho,Vitória,165
1,196,34,Vermelho,Vitória,170
1,197,8,Preto,Derrota,165
1,198,33,Preto,Derrota,160
1,199,3,Vermelho,Vitória,165
1,200,35,Preto,Derrota,160
1,201,20,Preto,Derrota,155
1,202,33,Preto,Derrota,150
1,203,35,Preto,Derrota,145
1,204,16,Vermelho,Vitória,150
1,205,3,Vermelho,Vitória,155
1,206,15,Preto,Derrota,150
1,207,13,Preto,Derrota,145
1,208,24,Preto,Derrota,140
1,209,32,Vermelho,Vitória,145
1,210,27,Vermelho,Vitória,150
1,211,14,Vermelho,Vitória,155
1,212,23,Vermelho,Vitória,160
1,213,16,Vermelho,Vitória,165
1,214,17,Preto,Derrota,160
1,215,30,Vermelho,Vitória,165
1,216,29,Preto,Derrota,160
1,217,10,Preto,Derrota,155
1,218,36,Vermelho,Vitória,160
1,219,23,Vermelho,Vitória,165
1,220,14,Vermelho,Vitória,170
1,221,5,Vermelho,Vitória,175
1,222,19,Vermelho,Vitória,180
1,223,14,Vermelho,Vitória,185
1,224,7,Vermelho,Vitória,190
1,225,23,Vermelho,Vitória,195
1,226,32,Vermelho,Vitória,200
1,227,12,Vermelho,Vitória,205
1,228,30,Vermelho,Vitória,210
1,229,5,Vermelho,Vitória,215
1,230,2,Preto,Derrota,210
1,231,9,Vermelho,Vitória,215
1,232,23,Vermelho,Vitória,220
1,233,3,Vermelho,Vitória,225
1,234,29,Preto,Derrota,220
1,235,30,Vermelho,Vitória,225
1,236,28,Preto,Derrota,220
1,237,23,Vermelho,Vitória,225
1,238,21,Vermelho,Vitória,230
1,239,30,Vermelho,Vitória,235
1,240,17,Preto,Derrota,230
1,241,8,Preto,Derrota,225
1,242,2,Preto,Derrota,220
1,243,36,Vermelho,Vitória,225
1,244,29,Preto,Derrota,220
1,245,21,Vermelho,Vitória,225
1,246,10,Preto,Derrota,220
1,247,4,Preto,Derrota,215
1,248,30,Vermelho,Vitória,220
1,249,25,Vermelho,Vitória,225
1,250,33,Preto,Derrota,220
1,251,21,Vermelho,Vitória,225
1,252,24,Preto,Derrota,220
1,253,3,Vermelho,Vitória,225
1,254,36,Vermelho,Vitória,230
1,255,3,Vermelho,Vitória,235
1,256,9,Vermelho,Vitória,240
1,257,18,Vermelho,Vitória,245
1,258,27,Vermelho,Vitória,250
1,259,22,Preto,Derrota,245
1,260,19,Vermelho,Vitória,250
1,261,3,Vermelho,Vitória,255
1,262,6,Preto,Derrota,250
1,263,22,Preto,Derrota,245
1,264,1,Vermelho,Vitória,250
1,265,11,Preto,Derrota,245
1,266,20,Preto,Derrota,240
1,267,1,Vermelho,Vitória,245
1,268,31,Preto,Derrota,240
1,269,8,Preto,Derrota,235
1,270,32,Vermelho,Vitória,240
1,271,29,Preto,Derrota,235
1,272,18,Vermelho,Vitória,240
1,273,25,Vermelho,Vitória,245
1,274,27,Vermelho,Vitória,250
1,275,5,Vermelho,Vitória,255
1,276,19,Vermelho,Vitória,260
1,277,24,Preto,Derrota,255
1,278,28,Preto,Derrota,250
1,279,19,Vermelho,Vitória,255
1,280,22,Preto,Derrota,250
1,281,6,Preto,Derrota,245
1,282,30,Vermelho,Vitória,250
1,283,16,Vermelho,Vitória,255
1,284,11,Preto,Derrota,250
1,285,12,Vermelho,Vitória,255
1,286,17,Preto,Derrota,250
1,287,26,Preto,Derrota,245
1,288,29,Preto,Derrota,240
1,289,1,Vermelho,Vitória,245
1,290,5,Vermelho,Vitória,250
1,291,17,Preto,Derrota,245
1,292,35,Preto,Derrota,240
1,293,34,Vermelho,Vitória,245
1,294,23,Vermelho,Vitória,250
1,295,20,Preto,Derrota,245
1,296,8,Preto,Derrota,240
1,297,13,Preto,Derrota,235
1,298,3,Vermelho,Vitória,240
1,299,6,Preto,Derrota,235
1,300,10,Preto,Derrota,230
1,301,0,Verde,Derrota,225
1,302,15,Preto,Derrota,220
1,303,20,Preto,Derrota,215
1,304,18,Vermelho,Vitória,220
1,305,12,Vermelho,Vitória,225
1,306,33,Preto,Derrota,220
1,307,12,Vermelho,Vitória,225
1,308,6,Preto,Derrota,220
1,309,13,Preto,Derrota,215
1,310,22,Preto,Derrota,210
1,311,27,Vermelho,Vitória,215
1,312,13,Preto,Derrota,210
1,313,14,Vermelho,Vitória,215
1,314,18,Vermelho,Vitória,220
1,315,23,Vermelho,Vitória,225
1,316,29,Preto,Derrota,220
1,317,13,Preto,Derrota,215
1,318,15,Preto,Derrota,210
1,319,33,Preto,Derrota,205
1,320,9,Vermelho,Vitória,210
1,321,13,Preto,Derrota,205
1,322,27,Vermelho,Vitória,210
1,323,4,Preto,Derrota,205
1,324,5,Vermelho,Vitória,210
1,325,7,Vermelho,Vitória,215
1,326,11,Preto,Derrota,210
1,327,2,Preto,Derrota,205
1,328,34,Vermelho,Vitória,210
1,329,1,Vermelho,Vitória,215
1,330,35,Preto,Derrota,210
1,331,18,Vermelho,Vitória,215
1,332,19,Vermelho,Vitória,220
1,333,9,Vermelho,Vitória,225
1,334,4,Preto,Derrota,220
1,335,6,Preto,Derrota,215
1,336,8,Preto,Derrota,210
1,337,26,Preto,Derrota,205
1,338,1,Vermelho,Vitória,210
1,339,30,Vermelho,Vitória,215
1,340,24,Preto,Derrota,210
1,341,5,Vermelho,Vitória,215
1,342,12,Vermelho,Vitória,220
1,343,25,Vermelho,Vitória,225
1,344,13,Preto,Derrota,220
1,345,4,Preto,Derrota,215
1,346,7,Vermelho,Vitória,220
1,347,26,Preto,Derrota,215
1,348,19,Vermelho,Vitória,220
1,349,14,Vermelho,Vitória,225
1,350,2,Preto,Derrota,220
1,351,34,Vermelho,Vitória,225
1,352,27,Vermelho,Vitória,230
1,353,8,Preto,Derrota,225
1,354,36,Vermelho,Vitória,230
1,355,18,Vermelho,Vitória,235
1,356,29,Preto,Derrota,230
1,357,22,Preto,Derrota,225
1,358,0,Verde,Derrota,220
1,359,23,Vermelho,Vitória,225
1,360,16,Vermelho,Vitória,230
1,361,16,Vermelho,Vitória,235
1,362,16,Vermelho,Vitória,240
1,363,34,Vermelho,Vitória,245
1,364,22,Preto,Derrota,240
1,365,0,Verde,Derrota,235
1,366,14,Vermelho,Vitória,240
1,367,4,Preto,Derrota,235
1,368,0,Verde,Derrota,230
1,369,2,Preto,Derrota,225
1,370,5,Vermelho,Vitória,230
1,371,4,Preto,Derrota,225
1,372,12,Vermelho,Vitória,230
1,373,31,Preto,Derrota,225
1,374,16,Vermelho,Vitória,230
1,375,7,Vermelho,Vitória,235
1,376,6,Preto,Derrota,230
1,377,9,Vermelho,Vitória,235
1,378,4,Preto,Derrota,230
1,379,10,Preto,Derrota,225
1,380,30,Vermelho,Vitória,230
1,381,19,Vermelho,Vitória,235
1,382,20,Preto,Derrota,230
1,383,24,Preto,Derrota,225
1,384,32,Vermelho,Vitória,230
1,385,0,Verde,Derrota,225
1,386,23,Vermelho,Vitória,230
1,387,35,Preto,Derrota,225
1,388,11,Preto,Derrota,220
1,389,24,Preto,Derrota,215
1,390,36,Vermelho,Vitória,220
1,391,16,Vermelho,Vitória,225
1,392,30,Vermelho,Vitória,230
1,393,0,Verde,Derrota,225
1,394,24,Preto,Derrota,220
1,395,21,Vermelho,Vitória,225
1,396,14,Vermelho,Vitória,230
1,397,1,Vermelho,Vitória,235
1,398,9,Vermelho,Vitória,240
1,399,4,Preto,Derrota,235
1,400,26,Preto,Derrota,230
1,401,17,Preto,Derrota,225
1,402,29,Preto,Derrota,220
1,403,30,Vermelho,Vitória,225
1,404,4,Preto,Derrota,220
1,405,28,Preto,Derrota,215
1,406,12,Vermelho,Vitória,220
1,407,15,Preto,Derrota,215
1,408,30,Vermelho,Vitória,220
1,409,12,Vermelho,Vitória,225
1,410,35,Preto,Derrota,220
1,411,32,Vermelho,Vitória,225
1,412,1,Vermelho,Vitória,230
1,413,5,Vermelho,Vitória,235
1,414,13,Preto,Derrota,230
1,415,5,Vermelho,Vitória,235
1,416,10,Preto,Derrota,230
1,417,3,Vermelho,Vitória,235
1,418,27,Vermelho,Vitória,240
1,419,8,Preto,Derrota,235
1,420,33,Preto,Derrota,230
1,421,20,Preto,Derrota,225
1,422,22,Preto,Derrota,220
1,423,30,Vermelho,Vitória,225
1,424,8,Preto,Derrota,220
1,425,10,Preto,Derrota,215
1,426,34,Vermelho,Vitória,220
1,427,6,Preto,Derrota,215
1,428,0,Verde,Derrota,210
1,429,9,Vermelho,Vitória,215
